fips,land_area,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
19007,497.3,1.0,1.1,2.4,3.5,4.4,4.5,4.6,4.2,4.2,3.0,2.5,1.5
19009,443.0,0.9,1.0,2.3,3.3,4.3,4.6,4.4,3.9,3.7,2.6,1.9,1.1
19011,716.3,1.0,1.0,2.2,3.4,4.2,4.6,4.2,4.5,3.6,2.5,2.3,1.3
19013,565.8,0.9,1.0,2.1,3.2,4.2,4.9,4.2,4.2,3.6,2.6,2.3,1.2
19015,571.6,0.8,0.9,2.1,3.2,4.3,5.0,4.2,4.0,3.2,2.6,1.9,1.1
19017,435.5,0.9,1.0,2.1,3.4,4.2,4.9,4.4,4.6,3.5,2.6,2.3,1.2
19019,571.0,1.0,1.0,2.0,3.3,4.1,4.7,4.1,4.7,3.6,2.6,2.3,1.3
19021,574.9,0.7,0.6,2.1,3.1,3.9,4.6,4.1,4.0,3.2,2.3,1.7,0.9
19023,580.1,0.9,0.9,2.1,3.3,4.2,5.0,4.4,4.3,3.4,2.6,2.2,1.1
19025,570.0,0.8,0.7,2.1,3.2,4.2,4.6,4.3,3.7,3.3,2.4,1.8,1.0
19027,569.4,0.9,0.8,2.3,3.3,4.3,4.5,4.3,3.7,3.5,2.5,1.8,1.0
19029,564.3,0.8,0.9,2.2,3.3,4.4,4.5,4.4,3.9,3.8,2.6,2.0,1.1
19031,579.4,1.2,1.3,2.5,3.5,4.1,4.7,4.2,4.5,3.8,2.6,2.5,1.8
19033,568.3,0.9,0.7,2.0,3.3,4.2,4.9,4.4,4.5,3.3,2.5,2.0,1.1
19035,576.9,0.7,0.6,2.0,3.0,3.7,4.3,3.9,3.6,2.9,2.2,1.6,0.8
19037,504.4,0.9,0.9,2.1,3.5,4.1,4.7,4.5,4.8,3.5,2.6,2.2,1.2
19039,431.2,0.9,1.1,2.2,3.6,4.1,4.6,4.5,4.0,4.0,2.8,2.3,1.3
19041,567.2,0.6,0.6,1.9,3.0,3.8,4.4,3.9,4.0,2.8,2.2,1.6,0.7
19043,778.5,1.0,1.1,2.1,3.4,4.0,4.5,4.2,4.8,3.4,2.4,2.3,1.3
